Player,Stat Type,Prop Line,Higher Payout,Lower Payout
Walker Kessler,Pts + Rebs + Asts,25.5,1,1
Walker Kessler,Assists,1.5,1.09x,0.91x
Walker Kessler,Rebounds,11.5,0.93x,1.06x
John Collins,Points,17.5,0.92x,1.07x
John Collins,Pts + Rebs + Asts,27.5,1,1
John Collins,Assists,1.5,1,1
John Collins,Rebounds,7.5,0.92x,1.07x
Isaiah Collier,Points,11.5,1.04x,0.94x
Isaiah Collier,Pts + Rebs + Asts,22.5,1,1
Isaiah Collier,1Q Points,2.5,1.09x,0.9x
Isaiah Collier,Rebounds,3.5,1,1
Lauri Markkanen,Points,18.5,1,1
Lauri Markkanen,Pts + Rebs + Asts,25.5,1,1
Lauri Markkanen,Rebounds,5.5,1.07x,0.94x
Lauri Markkanen,1Q Points,5.5,0.92x,1.07x
Austin Reaves,Points,20.5,1.07x,0.92x
Austin Reaves,Pts + Rebs + Asts,28.5,1,1
Austin Reaves,Rebounds,4.5,1.19x,0.83x
Austin Reaves,Assists,4.5,0.92x,1.07x
Jordan Clarkson,Points,18.5,1.1x,0.9x
Jordan Clarkson,Pts + Rebs + Asts,25.5,1,1
Jordan Clarkson,1Q Points,5.5,1.04x,0.94x
Jordan Clarkson,1Q Pts + Rebs + Asts,7.5,1,1
Rui Hachimura,Points,15.5,1.04x,0.94x
Rui Hachimura,Pts + Rebs + Asts,20.5,1,1
Rui Hachimura,Rebounds,4.5,0.89x,1.12x
Rui Hachimura,Assists,0.5,0.78x,1.29x
Jaxson Hayes,Points,8.5,1,1
Jaxson Hayes,Pts + Rebs + Asts,15.5,1,1
Jaxson Hayes,Rebounds,5.5,1,1
Jaxson Hayes,Assists,1.5,1.09x,0.9x
Nikola Jokic,Points,29.5,1,1
Nikola Jokic,Pts + Rebs + Asts,51.5,1,1
Nikola Jokic,Assists,9.5,0.9x,1.1x
Nikola Jokic,1Q Points,9.5,1,1
Jamal Murray,Points,20.5,0.94x,1.04x
Jamal Murray,Pts + Rebs + Asts,30.5,1,1
Jamal Murray,1Q Pts + Rebs + Asts,8.5,1,1
Jamal Murray,Rebounds,3.5,0.94x,1.04x
Jerami Grant,Points,14.5,0.94x,1.05x
Jerami Grant,Pts + Rebs + Asts,19.5,1,1
Jerami Grant,Assists,2.5,1.23x,0.8x
Jerami Grant,1Q Points,3.5,1,1
Deni Avdija,Points,16.5,1,1
Deni Avdija,Pts + Rebs + Asts,27.5,1,1
Deni Avdija,Rebounds,6.5,1.08x,0.91x
Deni Avdija,1Q Points,3.5,1,1
Donovan Clingan,Points,8.5,1.08x,0.91x
Donovan Clingan,Pts + Rebs + Asts,17.5,0.89x,1.12x
Donovan Clingan,1Q Points,2.5,1.33x,0.77x
Donovan Clingan,Assists,1.5,1.23x,0.8x
Anfernee Simons,Points,21.5,1,1
Anfernee Simons,Pts + Rebs + Asts,29.5,1,1
Anfernee Simons,1Q Pts + Rebs + Asts,7.5,1,1
Anfernee Simons,1Q Points,4.5,0.92x,1.07x
Michael Porter Jr.,Points,18.5,1.07x,0.92x
Michael Porter Jr.,Pts + Rebs + Asts,26.5,1,1
Michael Porter Jr.,Assists,1.5,1.09x,0.9x
Michael Porter Jr.,1Q Points,4.5,1,1
Aaron Gordon,Points,11.5,1,1
Aaron Gordon,Pts + Rebs + Asts,20.5,1.04x,0.94x
Aaron Gordon,Assists,3.5,1.04x,0.94x
Aaron Gordon,1Q Points,2.5,1,1
Christian Braun,Points,16.5,1.05x,0.94x
Christian Braun,Pts + Rebs + Asts,24.5,1,1
Christian Braun,1Q Points,4.5,1.04x,0.94x
Christian Braun,Rebounds,5.5,1,1
Toumani Camara,Points,10.5,0.93x,1.05x
Toumani Camara,Pts + Rebs + Asts,18.5,0.94x,1.04x
Toumani Camara,1Q Points,2.5,0.94x,1.04x
Toumani Camara,Assists,1.5,0.84x,1.18x
Jimmy Butler,Points,20.5,1,1
Jimmy Butler,Pts + Rebs + Asts,31.5,1,1
Jimmy Butler,1Q Pts + Rebs + Asts,8.5,1,1
Jimmy Butler,Assists,5.5,1.12x,0.89x
Draymond Green,Points,8.5,0.93x,1.06x
Draymond Green,Pts + Rebs + Asts,22.5,1.07x,0.92x
Draymond Green,1Q Points,2.5,1.11x,0.89x
Draymond Green,Rebounds,6.5,1,1
Klay Thompson,Points,14.5,0.9x,1.1x
Klay Thompson,Pts + Rebs + Asts,20.5,1,1
Klay Thompson,Rebounds,3.5,1,1
Klay Thompson,1Q Points,3.5,1,1
Brandin Podziemski,Points,11.5,0.94x,1.04x
Brandin Podziemski,Pts + Rebs + Asts,22.5,1.07x,0.92x
Brandin Podziemski,Assists,3.5,0.92x,1.06x
Brandin Podziemski,1Q Points,2.5,1.12x,0.88x
Dante Exum,Points,7.5,1.06x,0.93x
Dante Exum,Pts + Rebs + Asts,13.5,1,1
Dante Exum,Assists,3.5,1.07x,0.92x
Dante Exum,Rebounds,2.5,0.9x,1.09x
Stephen Curry,Points,27.5,1,1
Stephen Curry,Pts + Rebs + Asts,37.5,1,1
Stephen Curry,1Q Points,6.5,1,1
Stephen Curry,Rebounds,4.5,1,1
Kyrie Irving,Points,27.5,1,1
Kyrie Irving,Pts + Rebs + Asts,39.5,1,1
Kyrie Irving,Assists,5.5,0.91x,1.08x
Kyrie Irving,1Q Points,5.5,0.92x,1.07x
PJ Washington,Points,15.5,0.92x,1.07x
PJ Washington,Pts + Rebs + Asts,27.5,1,1
PJ Washington,1Q Pts + Rebs + Asts,8.5,1,1
PJ Washington,1Q Points,4.5,0.9x,1.1x
Buddy Hield,Points,15.5,1.07x,0.92x
Buddy Hield,Pts + Rebs + Asts,21.5,1,1
Buddy Hield,Assists,2.5,1.06x,0.92x
Buddy Hield,Rebounds,4.5,1.06x,0.93x
Ja Morant,Points,21.5,1,1
Ja Morant,Pts + Rebs + Asts,32.5,1,1
Ja Morant,Assists,7.5,1.12x,0.89x
Ja Morant,Rebounds,4.5,1.11x,0.89x
James Harden,Points,21.5,1,1
James Harden,Pts + Rebs + Asts,37.5,1,1
James Harden,1Q Pts + Rebs + Asts,13.5,1,1
James Harden,Rebounds,5.5,1.08x,0.91x
Ivica Zubac,Points,15.5,1,1
Ivica Zubac,Pts + Rebs + Asts,30.5,1,1
Ivica Zubac,Rebounds,12.5,0.92x,1.07x
Ivica Zubac,1Q Points,4.5,1.13x,0.86x
Norman Powell,Points,22.5,0.9x,1.1x
Norman Powell,Pts + Rebs + Asts,29.0,1,1
Norman Powell,1Q Points,4.5,0.93x,1.05x
Norman Powell,1Q Pts + Rebs + Asts,6.5,1,1
Kawhi Leonard,Points,19.5,1,1
Kawhi Leonard,Pts + Rebs + Asts,28.5,1,1
Kawhi Leonard,1Q Pts + Rebs + Asts,6.5,1,1
Kawhi Leonard,Assists,2.5,0.89x,1.12x
Zach Edey,Points,7.5,1,1
Zach Edey,Pts + Rebs + Asts,16.5,1,1
Zach Edey,Assists,0.5,0.75x,1.38x
Zach Edey,Rebounds,7.5,1.07x,0.92x
Derrick Jones Jr.,Points,10.5,1,1
Derrick Jones Jr.,Pts + Rebs + Asts,15.5,1,1
Derrick Jones Jr.,Assists,0.5,0.8x,1.24x
Derrick Jones Jr.,Rebounds,3.5,0.92x,1.07x
